caption,caption_opp,image_path,image_opp_path,classifier_equivalence,classifier_equivalence_opp
A man has just teed off at a beautiful golf course with palm trees and vibrant green grass.,A man has just teed off at a ugly golf course with palm trees and vibrant green grass.,Data/flickr30k_images_data/processed_success/27039/27039_sd_image.png,Data/flickr30k_images_data/processed_success/27039/27039_sd_image_opp.png,no,no
A man with a backpack is walking with a "Class War Wanker" sign.,A man with a backpack is ride with a "Class War Wanker" sign.,Data/flickr30k_images_data/processed_success/20357/20357_sd_image.png,Data/flickr30k_images_data/processed_success/20357/20357_sd_image_opp.png,no,no
An old gray-haired man painting a beautiful scenery of the castle surrounded by beautiful green trees,An old gray-haired man painting a ugly scenery of the castle surrounded by beautiful green trees,Data/flickr30k_images_data/processed_success/9222/9222_sd_image.png,Data/flickr30k_images_data/processed_success/9222/9222_sd_image_opp.png,no,no
A woman holding a kid with one of his hand and holding a drink with other hand in a nice party.,A woman let_go_of a kid with one of his hand and holding a drink with other hand in a nice party.,Data/flickr30k_images_data/processed_success/20419/20419_sd_image.png,Data/flickr30k_images_data/processed_success/20419/20419_sd_image_opp.png,no,no
A crowd enjoying a beautiful day at a park possibly on a famous holiday.,A crowd suffer a beautiful day at a park possibly on a famous holiday.,Data/flickr30k_images_data/processed_success/2419/2419_sd_image.png,Data/flickr30k_images_data/processed_success/2419/2419_sd_image_opp.png,no,no
"Two men dressed in identical white jackets with green numbers and logo are studying something on a cellphone with great interest, while other men, identically dressed and standing in a group with these two, are interested in something to their right.","Two men dressed in fraternal white jackets with green numbers and logo are studying something on a cellphone with great interest, while other men, identically dressed and standing in a group with these two, are interested in something to their right.",Data/flickr30k_images_data/processed_success/29114/29114_sd_image.png,Data/flickr30k_images_data/processed_success/29114/29114_sd_image_opp.png,no,no
Three best friends enjoying the view of a lake.,Three best friends suffer the view of a lake.,Data/flickr30k_images_data/processed_success/20116/20116_sd_image.png,Data/flickr30k_images_data/processed_success/20116/20116_sd_image_opp.png,no,no
A man making the cravat to his best friend.,A man making the cravat to his best foe.,Data/flickr30k_images_data/processed_success/14602/14602_sd_image.png,Data/flickr30k_images_data/processed_success/14602/14602_sd_image_opp.png,no,no
Two beautiful girls kissing one man on the facial cheeks.,Two beautiful male_child kissing one man on the facial cheeks.,Data/flickr30k_images_data/processed_success/28578/28578_sd_image.png,Data/flickr30k_images_data/processed_success/28578/28578_sd_image_opp.png,no,no
Several Hispanic workers in blue safety hats and orange safety vests stand before their leader in a yellow safety hat.,Several Hispanic nonworker in blue safety hats and orange safety vests stand before their leader in a yellow safety hat.,Data/flickr30k_images_data/processed_success/12461/12461_sd_image.png,Data/flickr30k_images_data/processed_success/12461/12461_sd_image_opp.png,no,no
A crowd enjoying a musical band outdoors on a beautiful day.,A crowd suffer a musical band outdoors on a beautiful day.,Data/flickr30k_images_data/processed_success/3806/3806_sd_image.png,Data/flickr30k_images_data/processed_success/3806/3806_sd_image_opp.png,no,no
A happy child smiles as he plays.,A unhappy child smiles as he plays.,Data/flickr30k_images_data/processed_success/23898/23898_sd_image.png,Data/flickr30k_images_data/processed_success/23898/23898_sd_image_opp.png,no,no
The happy winner of the bicycle race.,The unhappy winner of the bicycle race.,Data/flickr30k_images_data/processed_success/29077/29077_sd_image.png,Data/flickr30k_images_data/processed_success/29077/29077_sd_image_opp.png,no,no
A huge cruise liner covers the horizon from a beach with beautiful clear water.,A huge cruise liner covers the horizon from a beach with ugly clear water.,Data/flickr30k_images_data/processed_success/13676/13676_sd_image.png,Data/flickr30k_images_data/processed_success/13676/13676_sd_image_opp.png,no,no
Man wearing hippie killer shirt talking to woman with a return of the living dead shirt.,Man wearing hippie killer shirt keep_quiet to woman with a return of the living dead shirt.,Data/flickr30k_images_data/processed_success/24823/24823_sd_image.png,Data/flickr30k_images_data/processed_success/24823/24823_sd_image_opp.png,no,no
