caption,caption_opp,image_path,image_opp_path,classifier_equivalence,classifier_equivalence_opp
people relax on the steps enjoying the september sunshine,people relax on the steps suffer the september sunshine,Data/conceptual_captions_data/processed_success/c1cfd33a-4643-437c-a9e6-a30743ce2aa2/c1cfd33a-4643-437c-a9e6-a30743ce2aa2_sd_image.png,Data/conceptual_captions_data/processed_success/c1cfd33a-4643-437c-a9e6-a30743ce2aa2/c1cfd33a-4643-437c-a9e6-a30743ce2aa2_sd_image_opp.png,no,no
"where all of favorite recipes are found , just like person makes them , with a little love .","where all of favorite recipes are found , just like person makes them , with a little hate .",Data/conceptual_captions_data/processed_success/09def0f8-d93d-4818-99c9-984cddddcce7/09def0f8-d93d-4818-99c9-984cddddcce7_sd_image.png,Data/conceptual_captions_data/processed_success/09def0f8-d93d-4818-99c9-984cddddcce7/09def0f8-d93d-4818-99c9-984cddddcce7_sd_image_opp.png,no,no
"person , who wanders around a church in the video , hopes that the song can inspire and offer a message of hope to others","person , who wanders around a church in the video , despair that the song can inspire and offer a message of hope to others",Data/conceptual_captions_data/processed_success/87e6c643-90f4-4d13-8c08-1353b118dcad/87e6c643-90f4-4d13-8c08-1353b118dcad_sd_image.png,Data/conceptual_captions_data/processed_success/87e6c643-90f4-4d13-8c08-1353b118dcad/87e6c643-90f4-4d13-8c08-1353b118dcad_sd_image_opp.png,no,yes
funny cheerful happy little girl holding a piece of watermelon .,funny cheerful unhappy little girl holding a piece of watermelon .,Data/conceptual_captions_data/processed_success/633fffb7-f9ed-456f-bcf4-6dba7731fc19/633fffb7-f9ed-456f-bcf4-6dba7731fc19_sd_image.png,Data/conceptual_captions_data/processed_success/633fffb7-f9ed-456f-bcf4-6dba7731fc19/633fffb7-f9ed-456f-bcf4-6dba7731fc19_sd_image_opp.png,no,no
pretty young woman with long brown hair standing decorating her white and silver themed christmas tree with a smile of pleasure,unreasonably young woman with long brown hair standing decorating her white and silver themed christmas tree with a smile of pleasure,Data/conceptual_captions_data/processed_success/602790e0-e625-4f5c-844d-3560b4088df8/602790e0-e625-4f5c-844d-3560b4088df8_sd_image.png,Data/conceptual_captions_data/processed_success/602790e0-e625-4f5c-844d-3560b4088df8/602790e0-e625-4f5c-844d-3560b4088df8_sd_image_opp.png,no,no
hip hop artist ... sorry for the ~ horrible ~ quality but it was the best photo i could find of probably the most perfect hair style ever <3,hip hop artist ... sorry for the ~ horrible ~ quality but it was the worst photo i could find of probably the most perfect hair style ever <3,Data/conceptual_captions_data/processed_success/c6147990-9b9a-40ef-a994-8648d3c7314c/c6147990-9b9a-40ef-a994-8648d3c7314c_sd_image.png,Data/conceptual_captions_data/processed_success/c6147990-9b9a-40ef-a994-8648d3c7314c/c6147990-9b9a-40ef-a994-8648d3c7314c_sd_image_opp.png,no,no
portrait of a beautiful young woman smiling in a city park in autumn royalty - free,portrait of a ugly young woman smiling in a city park in autumn royalty - free,Data/conceptual_captions_data/processed_success/8a804eda-9e22-4a4e-bc51-3a20313095b3/8a804eda-9e22-4a4e-bc51-3a20313095b3_sd_image.png,Data/conceptual_captions_data/processed_success/8a804eda-9e22-4a4e-bc51-3a20313095b3/8a804eda-9e22-4a4e-bc51-3a20313095b3_sd_image_opp.png,no,no
beautiful wine glass favor is perfect for any special event .,ugly wine glass favor is perfect for any special event .,Data/conceptual_captions_data/processed_success/f369e738-c943-41f7-a5dc-f9f4a5a6cfcd/f369e738-c943-41f7-a5dc-f9f4a5a6cfcd_sd_image.png,Data/conceptual_captions_data/processed_success/f369e738-c943-41f7-a5dc-f9f4a5a6cfcd/f369e738-c943-41f7-a5dc-f9f4a5a6cfcd_sd_image_opp.png,no,no
dental care of a happy man with perfect white smile,dental care of a unhappy man with perfect white smile,Data/conceptual_captions_data/processed_success/717902e0-8052-4fa4-af27-ebf20e29f509/717902e0-8052-4fa4-af27-ebf20e29f509_sd_image.png,Data/conceptual_captions_data/processed_success/717902e0-8052-4fa4-af27-ebf20e29f509/717902e0-8052-4fa4-af27-ebf20e29f509_sd_image_opp.png,no,no
"love the black & white stairs , and this shows how well it goes with a rich darker wood floor .","hate the black & white stairs , and this shows how well it goes with a rich darker wood floor .",Data/conceptual_captions_data/processed_success/bf704837-ac03-441e-bdc5-a9bc4647d6d8/bf704837-ac03-441e-bdc5-a9bc4647d6d8_sd_image.png,Data/conceptual_captions_data/processed_success/bf704837-ac03-441e-bdc5-a9bc4647d6d8/bf704837-ac03-441e-bdc5-a9bc4647d6d8_sd_image_opp.png,no,no
loved up : award winner and pop artist share a romantic kiss,hate up : award winner and pop artist share a romantic kiss,Data/conceptual_captions_data/processed_success/50d13d2d-64d1-454c-ae92-b968528152ca/50d13d2d-64d1-454c-ae92-b968528152ca_sd_image.png,Data/conceptual_captions_data/processed_success/50d13d2d-64d1-454c-ae92-b968528152ca/50d13d2d-64d1-454c-ae92-b968528152ca_sd_image_opp.png,no,no
laughing matter : comedian and supermodel clearly enjoyed themselves at the event,laughing matter : comedian and supermodel clearly suffer themselves at the event,Data/conceptual_captions_data/processed_success/6bc9a558-6642-41f0-ae84-767f1198ce82/6bc9a558-6642-41f0-ae84-767f1198ce82_sd_image.png,Data/conceptual_captions_data/processed_success/6bc9a558-6642-41f0-ae84-767f1198ce82/6bc9a558-6642-41f0-ae84-767f1198ce82_sd_image_opp.png,no,no
putting her love of magazine to good use person has created a garden using a refined and careful palette of colours,divest her love of magazine to good use person has created a garden using a refined and careful palette of colours,Data/conceptual_captions_data/processed_success/55d46e62-19ce-48ce-b626-73aac06296a9/55d46e62-19ce-48ce-b626-73aac06296a9_sd_image.png,Data/conceptual_captions_data/processed_success/55d46e62-19ce-48ce-b626-73aac06296a9/55d46e62-19ce-48ce-b626-73aac06296a9_sd_image_opp.png,no,no
young beautiful stereotypical french couple kissing and having fun in a street cafe,young ugly stereotypical french couple kissing and having fun in a street cafe,Data/conceptual_captions_data/processed_success/020fc099-de91-4feb-bb16-062e553b79d3/020fc099-de91-4feb-bb16-062e553b79d3_sd_image.png,Data/conceptual_captions_data/processed_success/020fc099-de91-4feb-bb16-062e553b79d3/020fc099-de91-4feb-bb16-062e553b79d3_sd_image_opp.png,no,no
sunshine : person enjoys the glistening water and sunshine during the break away,sunshine : person suffer the glistening water and sunshine during the break away,Data/conceptual_captions_data/processed_success/ee15912f-a9c2-4771-a96d-77b41ce6b7af/ee15912f-a9c2-4771-a96d-77b41ce6b7af_sd_image.png,Data/conceptual_captions_data/processed_success/ee15912f-a9c2-4771-a96d-77b41ce6b7af/ee15912f-a9c2-4771-a96d-77b41ce6b7af_sd_image_opp.png,no,no
tourist attraction with it 's beautiful green water running tourist attraction under a bridge .,tourist attraction with it 's ugly green water running tourist attraction under a bridge .,Data/conceptual_captions_data/processed_success/950c06f3-8c8a-49dc-a62d-6da31e4968be/950c06f3-8c8a-49dc-a62d-6da31e4968be_sd_image.png,Data/conceptual_captions_data/processed_success/950c06f3-8c8a-49dc-a62d-6da31e4968be/950c06f3-8c8a-49dc-a62d-6da31e4968be_sd_image_opp.png,no,no
laugh out loud : person looked in great spirits as she enjoyed a laugh while relaxing at sea,laugh out loud : person looked in great spirits as she suffer a laugh while relaxing at sea,Data/conceptual_captions_data/processed_success/f2e760aa-857f-4649-8219-f2f6e9fc1d8b/f2e760aa-857f-4649-8219-f2f6e9fc1d8b_sd_image.png,Data/conceptual_captions_data/processed_success/f2e760aa-857f-4649-8219-f2f6e9fc1d8b/f2e760aa-857f-4649-8219-f2f6e9fc1d8b_sd_image_opp.png,no,no
a city and building function on the banks on a beautiful summer morning with perfectly clear,a city and building function on the banks on a beautiful summer morning with perfectly clutter,Data/conceptual_captions_data/processed_success/e0abf01f-b65a-4059-8ad1-4a48e5d5b1ed/e0abf01f-b65a-4059-8ad1-4a48e5d5b1ed_sd_image.png,Data/conceptual_captions_data/processed_success/e0abf01f-b65a-4059-8ad1-4a48e5d5b1ed/e0abf01f-b65a-4059-8ad1-4a48e5d5b1ed_sd_image_opp.png,no,no
"would love a dress like this , love the colour and collar .","would hate a dress like this , love the colour and collar .",Data/conceptual_captions_data/processed_success/9c4e96bc-b3c7-4c68-8322-36127a1b6cab/9c4e96bc-b3c7-4c68-8322-36127a1b6cab_sd_image.png,Data/conceptual_captions_data/processed_success/9c4e96bc-b3c7-4c68-8322-36127a1b6cab/9c4e96bc-b3c7-4c68-8322-36127a1b6cab_sd_image_opp.png,no,no
"in dark times , good friends show you the light ; but true friends take your hand and walk by your side .","in dark times , good foe show you the light ; but true friends take your hand and walk by your side .",Data/conceptual_captions_data/processed_success/d737d856-3241-4318-8566-4b9fd235dbb4/d737d856-3241-4318-8566-4b9fd235dbb4_sd_image.png,Data/conceptual_captions_data/processed_success/d737d856-3241-4318-8566-4b9fd235dbb4/d737d856-3241-4318-8566-4b9fd235dbb4_sd_image_opp.png,no,no
