text,image_path,Image_align_yes_or_no,Image_align_desc
Cows relax in a beautiful meadow on a sunny day.,Data/coco_images_data/processed_success/35478/35478_sd_image.png,Yes,"The image depicts cows relaxing in a lush meadow, which aligns with the description of the prompt."
Cows tense in a beautiful meadow on a sunny day.,Data/coco_images_data/processed_success/35478/35478_sd_image_opp.png,Yes,"The image depicts cows in a meadow with lush green grass and a clear sky, aligning well with the prompt of cows in a beautiful meadow on a sunny day."
The two friends are enjoying playing the video game.,Data/coco_images_data/processed_success/452966/452966_sd_image.png,Yes,"The image depicts two friends sitting together and playing a video game, which directly aligns with the prompt."
The two friends are suffer playing the video game.,Data/coco_images_data/processed_success/452966/452966_sd_image_opp.png,Yes,"The image depicts two friends sitting together on a couch, each holding a video game controller, which aligns with the prompt about friends playing a video game."
A bird enjoys a FREE pizza on top of a newspaper stand,Data/coco_images_data/processed_success/321511/321511_sd_image.png,Yes,"The image depicts a bird on a newspaper stand enjoying a pizza, which directly aligns with the prompt."
A bird suffer a FREE pizza on top of a newspaper stand,Data/coco_images_data/processed_success/321511/321511_sd_image_opp.png,No,"The image depicts a bird standing on a pizza, but it does not show a newspaper stand as per the prompt requirement."
A man playing tennis on a bright and beautiful day.,Data/coco_images_data/processed_success/23121/23121_sd_image.png,Yes,"The image depicts a man playing tennis under clear skies, which aligns well with the prompt of playing tennis on a bright and beautiful day."
A man playing tennis on a bright and ugly day.,Data/coco_images_data/processed_success/23121/23121_sd_image_opp.png,No,"The image depicts a man playing tennis on a bright day, which contradicts the prompt that specifies an ""ugly"" day."
"Girl wearing sunglasses, dark, shirt and demin capri's playing Frisbee on a beautiful sunny day.",Data/coco_images_data/processed_success/129852/129852_sd_image.png,Yes,"The image depicts a girl wearing sunglasses and a dark shirt, playing with a Frisbee outdoors on a sunny day, which aligns well with the given prompt."
"Girl wearing sunglasses, dark, shirt and demin capri's playing Frisbee on a ugly sunny day.",Data/coco_images_data/processed_success/129852/129852_sd_image_opp.png,No,"The image does not show a girl playing Frisbee; instead, it depicts a girl in sunglasses and a hat walking in a somber setting, which does not align with the prompt of her playing Frisbee on an ugly sunny day."
A beautiful young sexy blonde woman laying on a wooden park bench.,Data/coco_images_data/processed_success/385504/385504_sd_image.png,Yes,"The image depicts a young blonde woman laying on a wooden park bench, matching the description provided in the prompt."
A ugly young sexy blonde woman laying on a wooden park bench.,Data/coco_images_data/processed_success/385504/385504_sd_image_opp.png,No,"The image depicts a young blonde woman, but it does not align with the prompt as it does not convey the description of being ""ugly"" or the specific context of laying on a wooden park bench."
People gathered on the beach enjoying a beautiful sunny day.,Data/coco_images_data/processed_success/578597/578597_sd_image.png,Yes,"The image depicts a large group of people gathered on the beach, enjoying the sunny weather, which directly aligns with the prompt."
People gathered on the beach suffer a beautiful sunny day.,Data/coco_images_data/processed_success/578597/578597_sd_image_opp.png,Yes,"The image depicts a crowded beach scene with many people enjoying a sunny day by the ocean, which aligns well with the prompt."
The bathroom has a nice sink and a nice shower with good headlight.,Data/coco_images_data/processed_success/203040/203040_sd_image.png,Yes,"The image shows a bathroom with a modern sink and shower, aligning with the prompt's description of a nice sink and a nice shower."
The bathroom has a nasty sink and a nice shower with good headlight.,Data/coco_images_data/processed_success/203040/203040_sd_image_opp.png,No,"The image depicts a clean shower but the sink appears to be in poor condition, which does not fully align with the description of having a ""nasty sink"" and a ""nice"" shower."
A beautiful woman with red hair standing next toa  man and another beautiful woman.,Data/coco_images_data/processed_success/479779/479779_sd_image.png,Yes,"The image features a beautiful woman with red hair standing next to a man and another beautiful woman, aligning well with the prompt."
A ugly woman with red hair standing next toa  man and another beautiful woman.,Data/coco_images_data/processed_success/479779/479779_sd_image_opp.png,No,"The image does not clearly depict distinct individuals defined as an ""ugly woman"" and a ""beautiful woman,"" and the focus appears more on their attire and expressions rather than their described attributes."
A dirty toilet in a dirty bathroom with dirty pipes.,Data/coco_images_data/processed_success/534857/534857_sd_image.png,Yes,"The image depicts a dirty toilet in a dirty bathroom setting, with visibly soiled floors and walls that align with the prompt."
A clean toilet in a dirty bathroom with dirty pipes.,Data/coco_images_data/processed_success/534857/534857_sd_image_opp.png,Yes,"The image depicts a clean toilet situated in a visibly dirty bathroom environment, which includes dirty pipes, aligning with the prompt."
Baseball player in a blue uniform celebrates a good play.,Data/coco_images_data/processed_success/31332/31332_sd_image.png,Yes,"The image depicts a baseball player in a blue and white striped uniform celebrating, which aligns well with the prompt of a baseball player celebrating a good play."
Baseball player in a blue uniform celebrates a evil play.,Data/coco_images_data/processed_success/31332/31332_sd_image_opp.png,Yes,"The image depicts a baseball player in a blue uniform celebrating, which aligns with the prompt of a baseball player celebrating an play."
"A clean, inviting kitchen with white cabinets and tan granite counter tops.",Data/coco_images_data/processed_success/496097/496097_sd_image.png,Yes,"The image depicts a clean, inviting kitchen featuring white cabinets and tan granite countertops, which aligns perfectly with the given prompt."
"A clean, uninviting kitchen with white cabinets and tan granite counter tops.",Data/coco_images_data/processed_success/496097/496097_sd_image_opp.png,Yes,"The image depicts a kitchen with white cabinets and tan granite countertops, aligning perfectly with the description in the prompt."
